53	doll	洋娃娃
54	dollar	元
55	door	門
56	dream	夢想、作夢
57	dress	洋裝
58	drink	喝
59	ear(s)	耳朵
60	eat	吃
61	elephant	大象
62	eleven	十一
63	English	英文、英語
64	eraser	橡皮擦、擦子
65	evening	傍晚、晚上
66	eye(s)	眼睛
67	face	臉
68	family	家庭、家人
69	feel	感覺
70	fish	魚
71	five	五
72	flower	花
73	food	食物
74	four	四
75	Friday	星期五
76	friend	朋友
77	fruit	水果
78	giraffe	長頸鹿
79	go	去
80	goodbye	再見
81	grandma	祖母
82	grandpa	祖父
83	great	美好的、偉大的
84	green	綠色
85	guess	猜
86	hamburger	漢堡
87	hand(s)	手
88	head	頭
89	help	幫助
90	her	她的
91	his	他的
92	homework	家庭作業
93	hot	熱的
94	hungry	飢餓的
95	ice_cream	冰淇淋
96	juice	果汁
97	jump	跳、跳躍
98	kitchen	廚房
99	kite	風箏
100	late	遲到
101	leg	腿
102	like	喜歡、像
103	lion	獅子
104	living_room	客廳（起居室）
105	lunch	午餐
106	many	很多
107	marker	麥克筆、白板筆、彩色筆
108	math	數學
109	milk	牛奶
110	Monday	星期一
111	monkey	猴子
112	morning	早上
113	mouse	老鼠
114	mouth	嘴巴
115	music	音樂
116	name	名字
117	new	新的
118	night	夜晚
119	noodles	麵條(複數)
120	nose	鼻子
121	number	號碼
122	nurse	護士
123	old	老的、舊的
124	open	打開
125	orange	柳橙
126	park	公園
127	pencil_case	鉛筆盒
128	piano	鋼琴
129	pink	粉紅色
130	pizza	比薩
131	play	玩
132	please	請、拜託
133	police_officer	警察
134	purple	紫色
135	question	問題
136	rabbit	兔子
137	read	讀
138	red	紅色
139	restroom	廁所
140	rice	飯
141	robot	機器人
142	sad	悲傷的
143	sandwich	三明治
144	Saturday	星期六
145	school	學校
146	sea	海、海洋
147	see	看
148	short	矮的、短的
149	sick	生病的
150	sing	唱
151	skirt	裙子
152	sleep	睡覺
153	smell	聞、氣味
154	snack	點心
155	some	一些
156	sorry	難過的、抱歉的
157	Sunday	星期日
158	sure	確定的
159	ten	十
160	three	三
161	Thursday	星期四
162	tiger	老虎
163	tired	疲倦的
164	today	今天
165	train	火車
166	tree	樹
167	Tuesday	星期二
168	twelve	十二
169	two	二
170	walk	走路
171	want	想要、需要
172	wash	清洗
173	watch	看、手錶
174	water	水
175	weather	天氣
176	Wednesday	星期三
177	what	什麼
178	windy	多風的、有風的、風大的
179	write	寫
180	yellow	黃色
